band	switch_water	lower_water     upper_water	    switch_land	lower_land	upper_land  reflectance  E0
1   1   1   2   1   1   2   400     1441.8
2   1   1   3   1   1   3   412.5   1685.2
3   1   2   4   1   2   4   442.5   1864.1
4   1   3   5   1   3   5   490     1923.7
5   1   4   6   1   4   6   510     1943.5
6   1   5   7   1   5   7   560     1804.4
7   1   6   8   1   6   8   620     1653.4
8   1   7   9   1   7   9   665     1532.3
9   1   8   9   1   8   10  673.75  1497.9
10  0   0   0   1   9   11  681.25  1472.4
11  1   11  12  1   10  12  708.75  1408.4
12  1   11  12  1   11  12  753.75  1265.9
13  0   0   0   0   0   0   761.25  1252.1
14  0   0   0   0   0   0   764.37  1248.5
15  0   0   0   0   0   0   767.5   1222.1
16  1   16  17  1   16  17  778.75  1184.5
17  1   16  18  1   16  18  865     958.2
18  1   17  18  1   17  18  885     929.5
19  0   0   0   0   0   0   900     895.7
20  0   0   0   0   0   0   940     824.7
21  1   18  21  1   18  21  1020    694.0
