band	switch_water	lower_water     upper_water	    switch_land	lower_land	upper_land  reflectance  E0
1   1   1   2   1   1   2   400     1.4418
2   1   1   3   1   1   3   412.5   1.6852
3   1   2   4   1   2   4   442.5   1.8641
4   1   3   5   1   3   5   490     1.9237
5   1   4   6   1   4   6   510     1.9435
6   1   5   7   1   5   7   560     1.8044
7   1   6   8   1   6   8   620     1.6534
8   1   7   9   1   7   9   665     1.5323
9   1   8   9   1   8   10  673.75  1.4979
10  0   0   0   1   9   11  681.25  1.4724
11  1   11  12  1   10  12  708.75  1.4084
12  1   11  12  1   11  12  753.75  1.2659
13  0   0   0   0   0   0   761.25  1.2521
14  0   0   0   0   0   0   764.37  1.2485
15  0   0   0   0   0   0   767.5   1.2221
16  1   16  17  1   16  17  778.75  1.1845
17  1   16  18  1   16  18  865     0.9582
18  1   17  18  1   17  18  885     0.9295
19  0   0   0   0   0   0   900     0.8957
20  0   0   0   0   0   0   940     0.8247
21  1   18  21  1   18  21  1020    0.6940
